iter	MultiClass
0	1.055821049
1	1.021901121
2	0.9857575495
3	0.9568065484
4	0.9293275899
5	0.9040651217
6	0.8833899296
7	0.8638526248
8	0.8486704868
9	0.8327635571
10	0.8143831482
11	0.7993896222
12	0.7836254984
13	0.7735212499
14	0.7603293082
15	0.7492199005
16	0.7388938684
17	0.7282189937
18	0.7179921173
19	0.7083817432
20	0.699731384
21	0.693068846
22	0.6865906873
23	0.6795961793
24	0.6725286049
25	0.6647955009
26	0.6583876795
27	0.6507600545
28	0.6408806442
29	0.6340504462
30	0.6295206312
31	0.6241659356
32	0.6173002551
33	0.6135926609
34	0.6064286111
35	0.6006461006
36	0.5957483054
37	0.590691284
38	0.5844249796
39	0.5791253148
40	0.5735137342
41	0.5680878128
42	0.5632751201
43	0.5587325688
44	0.5545684107
45	0.5512275944
46	0.5473905257
47	0.5441444237
48	0.5407913462
49	0.5370333844
50	0.5321979836
51	0.5273288849
52	0.5231458372
53	0.5196961084
54	0.5152109617
55	0.5122012026
56	0.5079282176
57	0.5030172931
58	0.498896588
59	0.4953915876
60	0.4916242912
61	0.4888404199
62	0.4856243985
63	0.4819343067
64	0.4780807683
65	0.4761269524
66	0.4728706542
67	0.4710666778
68	0.4676016971
69	0.4644752999
70	0.4627382626
71	0.4606616086
72	0.4582216773
73	0.4553380274
74	0.4524765861
75	0.450012409
76	0.4473922698
77	0.4451912944
78	0.4427258633
79	0.439801633
80	0.4376672848
81	0.4342312765
82	0.4318247082
83	0.4294907673
84	0.4268117854
85	0.4247623699
86	0.4227554087
87	0.4196686352
88	0.4172193315
89	0.4155468937
90	0.4136260652
91	0.4116377366
92	0.4090907403
93	0.4066109246
94	0.4046738875
95	0.4025779914
96	0.400728101
97	0.399261757
98	0.3973132178
99	0.3949133794
100	0.3927927441
101	0.391449985
102	0.3889895649
103	0.388030696
104	0.386323905
105	0.385034757
106	0.3829627599
107	0.3815840694
108	0.3798059923
109	0.3779742959
110	0.3764755803
111	0.3756857701
112	0.3742843058
113	0.372564598
114	0.37026281
115	0.3684431446
116	0.3670187499
117	0.3649773502
118	0.3631391415
119	0.3606579215
120	0.3588694959
121	0.3575977867
122	0.3562809547
123	0.3550306434
124	0.3544853675
125	0.3527736034
126	0.3514495364
127	0.3498816953
128	0.3488260975
129	0.3462810805
130	0.3450445775
131	0.3435461132
132	0.3415425988
133	0.3408243087
134	0.3390481095
135	0.3379489738
136	0.3365549879
137	0.3346962457
138	0.3331127904
139	0.3315729974
140	0.3297224563
141	0.3285501957
142	0.3276361489
143	0.326078339
144	0.3240649171
145	0.3233233119
146	0.321817073
147	0.3205815153
148	0.3194395143
149	0.3174994332
150	0.3164407429
151	0.3154001501
152	0.3142291668
153	0.3125624865
154	0.3111742711
155	0.3101284993
156	0.3090087708
157	0.307798029
158	0.3068171256
159	0.3057526592
160	0.3044519072
161	0.3035245145
162	0.3027251301
163	0.3015614986
164	0.3006255641
165	0.2997376825
166	0.298627368
167	0.2975394306
168	0.296416567
169	0.295309547
170	0.2944449237
171	0.2933273227
172	0.2917763066
173	0.2907479464
174	0.2894411049
175	0.2884569679
176	0.2873699444
177	0.2865302351
178	0.2852708807
179	0.2843619073
180	0.2837545073
181	0.2832379905
182	0.2824618092
183	0.2816090263
184	0.2803411191
185	0.2794756793
186	0.2786917903
187	0.2778602891
188	0.2770079242
189	0.2761242901
190	0.2754401681
191	0.2749885013
192	0.274247383
193	0.2734123615
194	0.2731154962
195	0.2724139025
196	0.2714910404
197	0.2705700449
198	0.2695811319
199	0.2690947729
200	0.268341111
201	0.2676480414
202	0.2671876887
203	0.2665040898
204	0.2653267593
205	0.264678232
206	0.2640539019
207	0.2631429684
208	0.2625362874
209	0.2621215595
210	0.2613828389
211	0.2603617736
212	0.2598016143
213	0.2591543834
214	0.2585734709
215	0.2580145971
216	0.2568704389
217	0.2563702785
218	0.2550673603
219	0.2542455505
220	0.2537221712
221	0.253218094
222	0.2526851227
223	0.2522021066
224	0.2516503903
225	0.2512949282
226	0.2509592372
227	0.2504970701
228	0.2499157825
229	0.2493606251
230	0.2487044615
231	0.2484660586
232	0.2480398453
233	0.2471150973
234	0.2468172417
235	0.2462629952
236	0.245510809
237	0.2445778355
238	0.2438919904
239	0.2431659664
240	0.2429308412
241	0.2420427976
242	0.2415738741
243	0.2411315288
244	0.2403218334
245	0.2394902892
246	0.2387387545
247	0.2384863559
248	0.2380169832
249	0.2375522877
250	0.2370844246
251	0.2367143981
252	0.2361415667
253	0.2355493627
254	0.2352670708
255	0.2349304588
256	0.2345741587
257	0.2341102331
258	0.2335860463
259	0.2331782629
260	0.232329802
261	0.231851484
262	0.2317139745
263	0.2313374765
264	0.2310428346
265	0.2306182536
266	0.2301715021
267	0.2296371274
268	0.2291749074
269	0.228694551
270	0.2283031178
271	0.2277542733
272	0.2275325539
273	0.2271515966
274	0.2267398861
275	0.2263443633
276	0.2258869786
277	0.2253228428
278	0.2249254397
279	0.2245592233
280	0.2241606545
281	0.2234662354
282	0.2226997342
283	0.2222990271
284	0.2221238146
285	0.2217415752
286	0.2213410382
287	0.2208246017
288	0.2204855087
289	0.2201817646
290	0.2198721417
291	0.2196154192
292	0.2193007232
293	0.2185830442
294	0.218238105
295	0.2178368763
296	0.2176241726
297	0.2172127835
298	0.2168896772
299	0.2166385344
300	0.2161377639
301	0.21593603
302	0.2156791719
303	0.2149777623
304	0.2146785584
305	0.21419656
306	0.2137502884
307	0.2132863918
308	0.2129633014
309	0.2127972312
310	0.2124217938
311	0.2119508208
312	0.211735759
313	0.2114298576
314	0.2110666711
315	0.2106937041
316	0.210372049
317	0.2100008952
318	0.2096278445
319	0.2094894001
320	0.2091451378
321	0.208935128
322	0.208642337
323	0.2084624152
324	0.2081594785
325	0.2079156013
326	0.2075980867
327	0.2071520554
328	0.2066474596
329	0.2064080952
330	0.2060789618
331	0.2057790497
332	0.2053846725
333	0.2050575993
334	0.2047126027
335	0.2044203207
336	0.2039361023
337	0.2035722964
338	0.2030686703
339	0.2028811068
340	0.2027570662
341	0.2026154554
342	0.2023577039
343	0.201946916
344	0.2017349522
345	0.2014525522
346	0.2012156578
347	0.2009838755
348	0.2006798799
349	0.2004515002
350	0.2001483564
351	0.1996788855
352	0.1990774167
353	0.1988460265
354	0.1986613636
355	0.1983216908
356	0.1980835168
357	0.1978689992
358	0.1977298652
359	0.1974409877
360	0.197082259
361	0.1968644723
362	0.1966655606
363	0.196417663
364	0.1961423777
365	0.1958794906
366	0.1957299624
367	0.1954527501
368	0.19525103
369	0.1950370651
370	0.1947672705
371	0.1945487804
372	0.1941462394
373	0.1939108978
374	0.1936360195
375	0.1931218015
376	0.1929236943
377	0.1925808505
378	0.1922176651
379	0.1916997188
380	0.1914242171
381	0.1911733603
382	0.1909145647
383	0.1907059782
384	0.1905300068
385	0.1904001519
386	0.1901421168
387	0.1899444284
388	0.1897117642
389	0.189394845
390	0.1891524433
391	0.1888939998
392	0.1884886702
393	0.1882693222
394	0.1880608982
395	0.1877715477
396	0.1875878452
397	0.1873681058
398	0.1871834613
399	0.1868277147
400	0.1867006177
401	0.1865314108
402	0.186395479
403	0.1861829462
404	0.1860393346
405	0.1859175024
406	0.1857309446
407	0.1855343847
408	0.1854182829
409	0.1852920653
410	0.1851696136
411	0.1849746868
412	0.1845830849
413	0.1843458315
414	0.1841862569
415	0.1840509867
416	0.1837133351
417	0.1834866688
418	0.1833679002
419	0.1832143958
420	0.1830617573
421	0.1828279802
422	0.1826385499
423	0.1824748416
424	0.1821775723
425	0.1819832764
426	0.1819088125
427	0.1817002612
428	0.1815443944
429	0.1814019784
430	0.181277029
431	0.1809709091
432	0.1806930147
433	0.180579451
434	0.1803765723
435	0.1801556177
436	0.1799701711
437	0.1798573589
438	0.1797044658
439	0.1794726709
440	0.1792772601
441	0.1790874389
442	0.1789114298
443	0.1786555233
444	0.1784214962
445	0.1781631767
446	0.1779635798
