iter	Passed	Remaining
0	7	7542
1	14	7249
2	21	7218
3	29	7276
4	36	7346
5	43	7247
6	50	7172
7	57	7090
8	63	7017
9	70	7012
10	78	7038
11	85	7041
12	92	7017
13	98	6930
14	106	6968
15	113	6980
16	120	6967
17	127	6947
18	135	6992
19	145	7134
20	154	7212
21	160	7154
22	169	7210
23	176	7174
24	183	7151
25	189	7116
26	196	7096
27	203	7063
28	211	7075
29	220	7119
30	227	7124
31	236	7151
32	243	7146
33	252	7161
34	259	7165
35	268	7191
36	275	7179
37	284	7191
38	291	7174
39	298	7164
40	304	7133
41	312	7118
42	319	7119
43	327	7106
44	334	7104
45	341	7091
46	350	7098
47	356	7079
48	363	7057
49	370	7048
50	377	7024
51	385	7024
52	392	7008
53	400	7010
54	407	7003
55	414	6990
56	423	7006
57	431	7008
58	438	6987
59	445	6972
60	452	6958
61	458	6943
62	466	6938
63	473	6925
64	481	6925
65	488	6915
66	495	6905
67	502	6885
68	509	6869
69	516	6863
70	523	6850
71	530	6842
72	537	6822
73	544	6814
74	551	6800
75	557	6783
76	565	6774
77	571	6754
78	578	6746
79	585	6730
80	592	6723
81	599	6711
82	605	6692
83	613	6691
84	620	6675
85	627	6668
86	633	6652
87	640	6641
88	647	6628
89	654	6617
90	662	6622
91	669	6606
92	676	6598
93	683	6588
94	690	6576
95	697	6564
96	703	6549
97	710	6540
98	717	6525
99	723	6515
100	731	6507
101	737	6495
102	745	6490
103	751	6475
104	759	6470
105	765	6454
106	772	6444
107	779	6435
108	785	6424
109	793	6420
110	800	6409
111	806	6398
112	813	6385
113	819	6371
114	828	6376
115	835	6370
116	843	6367
117	850	6354
118	857	6349
119	864	6341
120	872	6336
121	879	6329
122	886	6319
123	893	6315
124	900	6301
125	907	6294
126	913	6282
127	921	6275
128	927	6264
129	935	6258
130	942	6250
131	948	6237
132	956	6234
133	962	6222
134	969	6214
135	976	6203
136	983	6192
137	990	6185
138	996	6175
139	1004	6170
140	1011	6162
141	1018	6152
142	1024	6140
143	1032	6137
144	1039	6127
145	1046	6120
146	1054	6116
147	1060	6107
148	1067	6098
149	1075	6093
150	1081	6083
151	1089	6077
